player_id,team_id,first_name,last_name,jersey_number
p0001,CAS,Pavel,TIbrigan,1
p0002,CAS,D,Stanila,3
p0003,CAS,Vladimir,Priscepnii,4
p0004,CAS,M,Bolgari,6
p0005,CAS,Alexei,Andrianov,7
p0006,CAS,Evghenii,Nartov,8
p0007,CAS,Ion,Golovco,17
p0008,CAS,Alexandr,Ceaicovschii,18
p0009,CAS,A,Bogatireov,25
p0010,CAS,Mihail,Volceanov,37
p0011,MET,E,Postolache,5
p0093,MET,M,Saprohin,10
p0013,MET,D,Ivancev,12
p0014,MET,A,Plamadeala,13
p0015,MET,Y,Mudric,15
p0016,MET,C,Borodin,18
p0017,MET,D,Kravciov,21
p0018,MET,A,Popov,22
p0019,MET,D,Malinoschi,23
p0020,MET,V,Hranovsky,27
p0021,AMB,Alic,Tonciu,3
p0022,AMB,G,Sevcenco,9
p0023,AMB,M,Solosciuc,13
p0024,AMB,A,Plamadeala,22
p0025,AMB,V,Juganaru,26
p0026,AMB,N,Belous,28
p0027,AMB,V,Arnaut,31
p0028,AMB,M,Melnicenco,50
p0029,VET,N,Savcenco,7
p0030,VET,V,Jereghic,8
p0031,VET,V,Martinov,10
p0032,VET,P,Petcenco,11
p0033,VET,A,Harevschii,14
p0034,VET,C,Ciobanu,15
p0035,VET,A,Cosiuc,18
p0036,VET,A,Bahilov,21
p0037,VET,D,Usatiuc,22
p0038,VET,V,Dronicov,24
p0039,VET,D,Usatenco,25
p0040,VET,I,Mitcov,29
p0041,HAI,Egor,Salcudin,10
p0042,HAI,Ilia,Buimistr,3
p0043,HAI,Ilia,Vradii,4
p0044,HAI,Alex,Kulisnicov,17
p0045,HAI,Vitalii,Granchin,18
p0046,HAI,Dmitrii,Ponomarenco,9
p0047,HAI,Victor,Orzul,11
p0048,HAI,Dmitrii,Tcaci,12
p0049,HAI,Danila,Iliin,15
p0050,HAI,B,Covalenco,23
p0051,HAI,Leonid,Maimescul,241
p0052,HAI,Constantin,Jalo,27
p0053,HAI,Oleg,Greciuschin,35
p0055,DRO,T,Prodan,51
p0056,DRO,S,Codreanu,6
p0057,DRO,Matei,Vrincean,4
p0058,DRO,B,Grogu,81
p0059,DRO,N,Fraseniuc,9
p0060,DRO,N,Sorochin,10
p0061,DRO,I,Iatco,11
p0062,DRO,V,Panaite,12
p0063,DRO,A,Tarasov,13
p0064,DRO,V,Croitoru,141
p0065,DRO,M,Murzac,151
p0066,BLD,I,Revazov,5
p0067,BLD,S,Coscodan,10
p0068,BLD,S,Buruiana,11
p0069,BLD,A,Elizarov,13
p0070,BLD,A,Slobodean,17
p0071,BLD,A,Saenco,24
p0072,BLD,S,Moraru,30
p0073,BLD,D,Tcaciov,71
p0074,WOL,Alexandr,Malachi,1
p0075,WOL,Maxim,Cosov,3
p0076,WOL,Alexei,Ermoliuc,4
p0077,WOL,Taras,Blajco,7
p0078,WOL,N,Griciuc,8
p0079,WOL,I,Sturza,9
p0080,WOL,Vladimir,Statenco,11
p0081,WOL,V,Stavinschii,15
p0082,WOL,A,Covaliov,23
p0083,WOL,G,Botica,25
p0084,GTM,Alexandr,Socolov,0
p0085,GTM,Vlad,Ursu,1
p0086,GTM,Cornel,Gherciu,2
p0087,GTM,Vladimir,Melnic,3
p0088,GTM,Pavel,Smirnov,6
p0089,GTM,Alexei,Malinovschii,7
p0090,GTM,Andrei,Lisnic,8
p0091,GTM,Igor,Ivanciuc,9
p0092,GTM,Ion,Moldovan,11
p0012,GTM,Anatol,Umanet,12
p0094,GTM,Alexandru,Ciobanu,15
p0095,USM,A,Savin,4
p0096,USM,V,Gladcov,5
p0097,USM,V,Puiu,6
p0098,USM,E,Zaicov,7
p0099,USM,P,Turcan,8
p0100,USM,A,Cebotari,9
p0101,USM,C,Matco,12
p0102,USM,C,Ciurea,13
p0103,USM,O,Florea,21
p0104,EDI,A,Dragutan,3
p0105,EDI,A,Lesan,4
p0106,EDI,A,Ulianici,8
p0107,EDI,I,Romaschin,9
p0108,EDI,D,Mihai,10
p0109,EDI,A,Shakun,12
p0110,EDI,V,Speian,14
p0111,EDI,s,Cojocari,23
p0112,EDI,A,Ceban,24
p0113,EDI,V,Orehov,30
p0114,EDI,T,Stebritchi,55
p0115,ADM,F,Rodion,0
p0116,ADM,M,Dolgaliov,1
p0117,ADM,M,Coada,2
p0118,ADM,A,Sorocean,33
p0119,ADM,D,Alexei,14
p0120,ADM,G,Buduluta,15
p0121,ADM,A,GIncul,24
p0122,ADM,G,ComnatnIi,771
p0123,ADM,T,Malairau,30
p0124,ADM,I,Epureanu,99
p0125,ALU,S,Carabet,0
p0126,ALU,I,Burduja,2
p0127,ALU,D,Grosu,8
p0128,ALU,L,Neaga,9
p0129,ALU,V,Stoica,13
p0130,ALU,B,Bejinari,14
p0131,ADM,M,Cernei,13
p0132,ADM,D,Corobcov,5
p0133,ADM,A,Covaliucuc,22
p0134,ADM,N,Vitneanschii,69
p0135,ADM,M,Rusnac,77
p0136,ADM,B,Cataveica,3
p0137,USM,T,Tarlev,18
p0138,MET,S,Dovgopoliy,26
p0139,MET,D,Mikulec,20
p0140,MET,N,Bolotov,9
p0141,HAI,V,Tronkin,8
p0142,HAI,S,Pilipenco,7
p0143,HAI,V,Tkac,6
p0145,HAI,D,Kalashnikov,24
p0156,DRO,Egor,Borziac,5
p0157,DRO,Marius,Stina,8
p0158,DRO,Bogdan,Gitu,14
p0159,DRO,Mihai,Negrescu,15
p0161,WOL,Andrei,Drasciuc,13
p0162,EDI,I,Silvestru,13
p0163,EDI,A,Gronic,18
p0164,EDI,R,Pislar,69
p0165,USM,Nicolai,Coputerco,14
p0166,USM,V,Caliciscov,22
p0167,ADM,A,Dragoimir,91
p0174,BRI,I,Gaitur,3
p0175,BRI,D,Corobcov,5
p0176,BRI,M,Cernet,8
p0177,BRI,D,Gladcov,11
p0178,BRI,A,Lesnik,30
p0179,BRI,D,Rusnak,32
p0180,BRI,N,Vesneacov,69
p0168,AMB,R,Finciuc,0
p0169,AMB,D,Grosu,8
p0170,AMB,K,Osjovschi,12
p0171,AMB,B,Bejinari,14
p0172,AMB,V,Stoica,34
p0173,AMB,C,Eremeev,37
p0192,VET,S,Noviciuc,13
